RunNr,RunType,HitscoreThreshold,MultiscoreThreshold,PhotonEnergyEV,PnCCDRescaleQ1AC0,PnCCDRescaleQ1AC1,PnCCDRescaleQ1AC2,PnCCDRescaleQ1AC3,PnCCDDX,PnCCDDY,PnCCDYGAP
64,Holography,-1,-1,-1,1,1,1,1,42,-3,12
65,Holography,-1,-1,-1,1,1,1,1,42,-3,12
66,Holography,-1,-1,1,1,1,1,42,-3,12,
67,Sample,-1,-1,-1,1,1,1,1,42,-3,12
68,Sample,-1,-1,-1,1,1,1,1,42,-3,12
69,Holography,-1,-1,-1,1,1,1,1,42,-3,21
70,Sample,-1,-1,-1,1,1,1,1,42,-3,12
71,Holography,-1,-1,-1,1,1,1,1,42,-3,12
72,Sample,-1,-1,-1,1,1,1,1,42,-3,12
73,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
74,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
75,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
76,Dark,-1,-1,-1,1,1,1,1,42,-3,12
77,Dark,-1,-1,530,1,1,1,1,42,-3,12
78,Sample,12500,-1,530,1,1,1,1,42,-3,12
79,Sample,13100,-1,530,1,1,1,1,42,-3,12
80,Sample,13200,-1,530,1,1,1,1,42,-3,12
81,Sample,13600,-1,530,1,1,1,1,42,-3,12
82,Holography,16000,-1,530,1,1,1,1,36,-2,12
83,Holography,16000,-1,530,1,1,1,1,42,-3,12
84,Sample,12800,-1,530,1,1,1,1,42,-3,12
85,Sample,12800,-1,530,1,1,1,1,42,-3,12
86,Void,-1,-1,530,1,1,1,1,42,-3,12
87,Sample,12800,-1,530,1,1,1,1,42,-3,12
88,Sample,12800,-1,530,1,1,1,1,42,-3,12
89,Sample,15500,-1,530,1,1,1,1,42,-3,12
90,Holography,16000,-1,530,1,1,1,1,42,-3,12
91,Holography,16000,-1,530,1,1,1,1,42,-3,12
92,Sample,18200,-1,530,1,1,1,1,42,-3,12
93,Void,-1,-1,530,1,1,1,1,42,-3,12
94,Holography,18300,-1,530,1,1,1,1,42,-3,12
95,Holography,16500,-1,530,1,1,1,1,42,-3,12
96,Holography,16000,-1,530,1,1,1,1,42,-3,12
97,Sample,15000,-1,530,1,1,1,1,42,-3,12
98,Sample,15000,-1,530,1,1,1,1,42,-3,12
99,Sample,14000,-1,530,1,1,1,1,42,-3,12
100,Holography,18000,-1,530,1,1,1,1,42,-3,12
101,Holography,16000,-1,530,1,1,1,1,42,-3,12
102,Holography,16000,-1,530,1,1,1,1,42,-3,12
103,Holography,18000,-1,530,1,1,1,1,42,-3,12
104,Holography,16000,-1,530,1,1,1,1,42,-3,12
105,Holography,16000,-1,530,1,1,1,1,42,-3,12
106,Holography,18000,-1,530,1,1,1,1,42,-3,12
107,Holography,18000,-1,530,1,1,1,1,42,-3,12
108,Holography,16000,-1,530,1,1,1,1,42,-3,12
109,Dark,-1,-1,530,1,1,1,1,42,-3,12
110,Holography,16000,-1,530,1,1,1,1,42,-3,12
111,Holography,16000,-1,530,1,1,1,1,42,-3,12
112,Holography,16000,-1,530,1,1,1,1,42,-3,12
113,Holography,16000,-1,530,1,1,1,1,42,-3,12
114,Void,-1,-1,530,1,1,1,1,42,-3,12
115,Holography,16000,-1,530,1,1,1,1,42,-3,12
116,Holography,16000,-1,530,1,1,1,1,42,-3,12
117,Holography,16000,-1,530,1,1,1,1,42,-3,12
118,Holography,16000,-1,530,1,1,1,1,42,-3,12
119,Holography,12000,-1,530,1,1,1,1,42,-3,12
120,Holography,12000,-1,530,1,1,1,1,42,-3,12
121,Holography,12000,-1,530,1,1,1,1,42,-3,12
122,Void,-1,-1,530,1,1,1,1,42,-3,12
123,Void,-1,-1,530,1,1,1,1,42,-3,12
124,Void,-1,-1,530,1,1,1,1,42,-3,12
125,Holography,16000,-1,530,1,1,1,1,42,-3,12
126,Holography,16000,-1,530,1,1,1,1,42,-3,12
127,Holography,16000,-1,530,1,1,1,1,42,-3,12
128,Water,-1,-1,530,1,1,1,1,42,-3,12
129,Holography,16000,-1,530,1,1,1,1,42,-3,12
130,Holography,16000,-1,530,1,1,1,1,42,-3,12
131,Holography,16000,-1,530,1,1,1,1,42,-3,12
132,Holography,16000,-1,530,1,1,1,1,42,-3,12
133,Void,-1,-1,530,1,1,1,1,42,-3,12
134,Holography,16000,-1,530,1,1,1,1,42,-3,12
135,Dark,-1,-1,530,1,1,1,1,42,-3,12
136,Dark,-1,-1,802,1,1,1,1,42,-3,12
137,Sample,-1,-1,802,1,1,1,1,42,-3,12
138,Sample,-1,-1,802,1,1,1,1,42,-3,12
139,Sample,-1,-1,802,1,1,1,1,42,-3,12
140,Sample,-1,-1,802,1,1,1,1,42,-3,12
141,Sample,-1,-1,802,1,1,1,1,42,-3,12
142,Sample,-1,-,802,1,1,1,1,42,-3,12
143,Holography,100000,-1,802,1,1,1,1,42,-3,12
144,Holography,40000,-1,802,1,1,1,1,42,-3,12
145,Holography,40000,-1,802,1,1,1,1,42,-3,12
146,Holography,40000,-1,802,1,1,1,1,42,-3,12
147,Holography,40000,-1,802,1,1,1,1,42,-3,12
148,Holography,40000,-1,802,1,1,1,1,42,-3,12
149,Holography,40000,-1,802,1,1,1,1,42,-3,12
150,Void,-1,-1,802,1,1,1,1,42,-3,12
151,Void,-1,-1,802,1,1,1,1,42,-3,12
152,Holography,40000,-1,802,1,1,1,1,42,-3,12
153,Holography,40000,-1,802,1,1,1,1,42,-3,12
154,Holography,40000,-1,802,1,1,1,1,42,-3,12
